Index,Date,LoT,LoT2
1,2021-09-06,,
2,2021-09-07,13,
3,2021-09-08,1,22
4,2021-09-09,,
5,2021-09-10,,
6,2021-09-13,,
7,2021-09-14,5,
8,2021-09-15,5,
9,2021-09-16,,
10,2021-09-17,,
11,2021-09-23,13,
12,2021-09-24,,
13,2021-09-27,,
14,2021-09-28,,
15,2021-09-29,9,
16,2021-09-30,,
17,2021-10-01,8,
18,2021-10-05,17,
19,2021-10-06,19,
20,2021-10-07,,
21,2021-10-08,14,
22,2021-10-12,,
23,2021-10-13,,
24,2021-10-14,,
25,2021-10-15,,
26,2021-10-18,5,22
27,2021-10-19,,
28,2021-10-20,,
29,2021-10-21,,
30,2021-10-22,,
31,2021-10-25,19,
32,2021-10-26,15,
33,2021-10-27,,
